Ref,TempExp,TempExpNum,Pop,Tpop,Predpop,Mortality,InWeight,OutWeight,Deg_Weight,MeanPopT_Deg_Weight,Deg_Pourc,Deg_PourcPT,DecompRate,MeanPopT_DecompRate,DecompRateCorr,MeanPopT_DecompRateCorr,DecompRatePerDCorr,MeanPopT_DecompRatePerDCorr,DecompRatePerDPerAzCorr,MeanPopT_DecompRatePerDPerAzCorr,MeanMassPop,MeanSizePop,MeanSlopePopPTDec,MeanSlopePopPTDecPos
T15c_C13,T15,15,C1,Ambiant,Pred,0,1.01,0.7,0.31,0.296666667,"306,930,693,069,307",NA,"306,930,693,069,307","286,574,865,759,435","209,782,103,069,307","189,426,275,759,435","123,401,237,099,592","111,427,221,034,962",0.123401237,0.111427221,"2,206,536","1,486",-0.007055621,0.007055621
T15d_C12,T15,15,C1,Ambiant,Pred,2,1.06,0.79,0.27,0.296666667,"254,716,981,132,075",NA,"254,716,981,132,075","286,574,865,759,435","157,568,391,132,075","189,426,275,759,435",0.926872889,"111,427,221,034,962",0.092687289,0.111427221,"2,206,536","1,486",-0.007055621,0.007055621
T27a_C11,T27,27,C1,Ambiant,Pred,3,1.03,0.66,0.37,0.383333333,"359,223,300,970,874","36,807,657,158,378","359,223,300,970,874","36,807,657,158,378","262,074,710,970,874","27,092,798,158,378","154,161,594,688,749","159,369,400,931,635",0.154161595,0.159369401,"2,206,536","1,486",-0.018782025,0.018782025
T27b_C13,T27,27,C1,Ambiant,Pred,3,1.02,0.67,0.35,0.383333333,"343,137,254,901,961",NA,"343,137,254,901,961","36,807,657,158,378","245,988,664,901,961","27,092,798,158,378","144,699,214,648,212","159,369,400,931,635",0.144699215,0.159369401,"2,206,536","1,486",-0.018782025,0.018782025
T27c_C12,T27,27,C1,Ambiant,Pred,1,1.07,0.64,0.43,0.383333333,"401,869,158,878,505",NA,"401,869,158,878,505","36,807,657,158,378","304,720,568,878,505","27,092,798,158,378","179,247,393,457,944","159,369,400,931,635",0.179247393,0.159369401,"2,206,536","1,486",-0.018782025,0.018782025
T05a_C33,T05,5,C3,Ambiant,Pred,1,1.01,0.79,0.22,0.216666667,"217,821,782,178,218","211,378,280,685,211","217,821,782,178,218","211,378,280,685,211","120,673,192,178,218","114,229,690,685,211",0.709842307,0.671939357,0.070984231,0.067193936,"24,961,078","1,577,175",-0.004826155,0.004826155
T05c_C32,T05,5,C3,Ambiant,Pred,2,1.01,0.83,0.18,0.216666667,"178,217,821,782,178",NA,"178,217,821,782,178","211,378,280,685,211","810,692,317,821,783","114,229,690,685,211",0.476877834,0.671939357,0.047687783,0.067193936,"24,961,078","1,577,175",-0.004826155,0.004826155
T05d_C31,T05,5,C3,Ambiant,Pred,1,1.05,0.8,0.25,0.216666667,"238,095,238,095,238",NA,"238,095,238,095,238","211,378,280,685,211","140,946,648,095,238","114,229,690,685,211",0.82909793,0.671939357,0.082909793,0.067193936,"24,961,078","1,577,175",-0.004826155,0.004826155
T15a_C33,T15,15,C3,Ambiant,Pred,1,1.03,0.75,0.28,0.283333333,"271,844,660,194,175","274,178,491,411,501","271,844,660,194,175","274,178,491,411,501","174,696,070,194,175","177,029,901,411,501","102,762,394,231,868","104,135,236,124,412",0.102762394,0.104135236,"24,961,078","1,577,175",-0.005450494,0.005450494
T15b_C32,T15,15,C3,Ambiant,Pred,2,1.03,0.75,0.28,0.283333333,"271,844,660,194,175",NA,"271,844,660,194,175","274,178,491,411,501","174,696,070,194,175","177,029,901,411,501","102,762,394,231,868","104,135,236,124,412",0.102762394,0.104135236,"24,961,078","1,577,175",-0.005450494,0.005450494
T15d_C31,T15,15,C3,Ambiant,Pred,2,1.04,0.75,0.29,0.283333333,"278,846,153,846,154",NA,"278,846,153,846,154","274,178,491,411,501","181,697,563,846,154","177,029,901,411,501","106,880,919,909,502","104,135,236,124,412",0.10688092,0.104135236,"24,961,078","1,577,175",-0.005450494,0.005450494
T27a_C32,T27,27,C3,Ambiant,Pred,2,1.07,0.71,0.36,0.383333333,"336,448,598,130,841","342,760,093,766,386","336,448,598,130,841","342,760,093,766,386","239,300,008,130,841","245,611,503,766,386","140,764,710,665,201","144,477,355,156,698",0.140764711,0.144477355,"24,961,078","1,577,175",-0.010430788,0.010430788
