"N_bac","Day","Temperature_moy","Tpop"
"A1",2019-12-25,9.65680555555556,"Ambient"
"A1",2019-12-26,8.93871527777778,"Ambient"
"A1",2019-12-27,7.7559375,"Ambient"
"A1",2019-12-28,6.33805555555556,"Ambient"
"A1",2019-12-29,5.59642361111111,"Ambient"
"A1",2019-12-30,5.28423611111111,"Ambient"
"A1",2019-12-31,5.12958333333333,"Ambient"
"A1",2020-01-01,5.28944444444444,"Ambient"
"A1",2020-01-02,4.5596875,"Ambient"
"A1",2020-01-03,4.84444444444444,"Ambient"
"A1",2020-01-04,5.55013888888889,"Ambient"
"A1",2020-01-05,5.78972222222222,"Ambient"
"A1",2020-01-06,4.78815972222222,"Ambient"
"A1",2020-01-07,4.43180555555556,"Ambient"
"A1",2020-01-08,5.58836805555556,"Ambient"
"A1",2020-01-09,7.07191176470588,"Ambient"
"A1",2020-01-10,7.43815972222222,"Ambient"
"A1",2020-01-11,6.23489583333333,"Ambient"
"A1",2020-01-12,4.43263888888889,"Ambient"
"A1",2020-01-13,3.47222222222222,"Ambient"
"A1",2020-01-14,3.8234375,"Ambient"
"A1",2020-01-15,4.53465277777778,"Ambient"
"A1",2020-01-16,4.87888888888889,"Ambient"
"A1",2020-01-17,4.87232638888889,"Ambient"
"A1",2020-01-18,4.26048611111111,"Ambient"
"A1",2020-01-19,4.80368055555556,"Ambient"
"A1",2020-01-20,4.15798611111111,"Ambient"
"A1",2020-01-21,3.93309027777778,"Ambient"
"A1",2020-01-22,4.61072916666667,"Ambient"
"A1",2020-01-23,5.94378472222222,"Ambient"
"A1",2020-01-24,5.93913194444444,"Ambient"
"A1",2020-01-25,5.54090277777778,"Ambient"
"A1",2020-01-26,5.60357638888889,"Ambient"
"A1",2020-01-27,4.74253472222222,"Ambient"
"A1",2020-01-28,5.41048611111111,"Ambient"
"A1",2020-01-29,5.50881944444444,"Ambient"
"A1",2020-01-30,7.27753472222222,"Ambient"
"A1",2020-01-31,9.44579861111111,"Ambient"
"A1",2020-02-01,9.07638888888889,"Ambient"
"A1",2020-02-02,9.80538194444444,"Ambient"
"A1",2020-02-03,11.2978125,"Ambient"
"A1",2020-02-04,11.1670833333333,"Ambient"
"A1",2020-02-05,9.585,"Ambient"
"A1",2020-02-06,7.12753472222222,"Ambient"
"A1",2020-02-07,6.02295138888889,"Ambient"
"A1",2020-02-08,5.7090625,"Ambient"
"A1",2020-02-09,6.88552083333333,"Ambient"
"A1",2020-02-10,9.89243055555556,"Ambient"
"A1",2020-02-11,11.3392361111111,"Ambient"
"A1",2020-02-12,10.6592013888889,"Ambient"
"A1",2020-02-13,9.69899305555556,"Ambient"
"A1",2020-02-14,11.346875,"Ambient"
"A1",2020-02-15,10.4419791666667,"Ambient"
"A1",2020-02-16,10.3158680555556,"Ambient"
"A1",2020-02-17,9.18434027777778,"Ambient"
"A1",2020-02-18,7.76625,"Ambient"
"A1",2020-02-19,7.72840277777778,"Ambient"
"A1",2020-02-20,7.705625,"Ambient"
"A1",2020-02-21,8.00840277777778,"Ambient"
"A1",2020-02-22,8.47173611111111,"Ambient"
"A1",2020-02-23,9.32357638888889,"Ambient"
"A1",2020-02-24,9.6596875,"Ambient"
"A1",2020-02-25,9.05246527777778,"Ambient"
"A1",2020-02-26,8.49961805555555,"Ambient"
"A1",2020-02-27,7.97868055555556,"Ambient"
"A1",2020-02-28,9.98204861111111,"Ambient"
"A1",2020-02-29,10.0493055555556,"Ambient"
"A1",2020-03-01,9.96069444444444,"Ambient"
"A1",2020-03-02,9.55163194444444,"Ambient"
"A1",2020-03-03,7.13045138888889,"Ambient"
"A1",2020-03-04,6.92409722222222,"Ambient"
"A1",2020-03-05,8.26236111111111,"Ambient"
"A1",2020-03-06,6.88319444444444,"Ambient"
"A1",2020-03-07,6.35805555555556,"Ambient"
"A1",2020-03-08,7.93840277777778,"Ambient"
"A1",2020-03-09,8.57600706713781,"Ambient"
"A1",2020-03-10,8.90590277777778,"Ambient"
"A1",2020-03-11,9.38163366336634,"Ambient"
"A1",2020-03-13,10.9232954545455,"Ambient"
"A1",2020-03-14,10.4421180555556,"Ambient"
"A1",2020-03-15,10.2837847222222,"Ambient"
"A1",2020-03-16,11.160625,"Ambient"
"A1",2020-03-17,11.0682986111111,"Ambient"
"A1",2020-03-18,11.9578472222222,"Ambient"
"A1",2020-03-19,13.2025347222222,"Ambient"
"A1",2020-03-20,14.0885763611111,"Ambient"
"A1",2020-03-21,13.7585763888889,"Ambient"
"A1",2020-03-22,13.3508333333333,"Ambient"
"A1",2020-03-23,12.8089236111111,"Ambient"
"A1",2020-03-24,12.1401041666667,"Ambient"
"A1",2020-03-25,11.4717361111111,"Ambient"
"A1",2020-03-26,10.0778125,"Ambient"
"A1",2020-03-27,8.11958333333333,"Ambient"
"A1",2020-03-28,9.70590277777778,"Ambient"
"A1",2020-03-29,10.5499652777778,"Ambient"
"A1",2020-03-30,8.61586805555556,"Ambient"
"A1",2020-03-31,8.03138888888889,"Ambient"
"A1",2020-04-01,10.2966319444444,"Ambient"
"A1",2020-04-02,10.4917013888889,"Ambient"
"A1",2020-04-03,10.8638541666667,"Ambient"
"A1",2020-04-04,11.5308680555556,"Ambient"
"A1",2020-04-05,13.045625,"Ambient"
"A1",2020-04-06,13.7755902777778,"Ambient"
"A1",2020-04-07,14.1598958333333,"Ambient"
"A1",2020-04-08,14.2152778506944,"Ambient"
"A1",2020-04-09,14.5802777916667,"Ambient"
"A1",2020-04-10,15.8767014340278,"Ambient"
"A1",2020-04-11,15.8244445034722,"Ambient"
"A1",2020-04-12,15.0377430381944,"Ambient"
"A1",2020-04-13,13.5277430555556,"Ambient"
"A1",2020-04-14,14.4027777777778,"Ambient"
"A1",2020-04-15,15.5595833472222,"Ambient"
"A1",2020-04-16,16.3335069826389,"Ambient"
"A1",2020-04-17,16.7903819305556,"Ambient"
"A1",2020-04-18,17.3739235833333,"Ambient"
"A1",2020-04-19,17.52128471875,"Ambient"
"A1",2020-04-20,15.5715972361111,"Ambient"
"A1",2020-04-21,14.5440277777778,"Ambient"
"A1",2020-04-22,13.474375,"Ambient"
"A1",2020-04-23,13.8567361111111,"Ambient"
"A1",2020-04-24,15.1079861145833,"Ambient"
"A1",2020-04-25,16.4170138680556,"Ambient"
"A1",2020-04-26,16.8061458576389,"Ambient"
"A1",2020-04-27,16.3464931284722,"Ambient"
"A1",2020-04-28,14.8511111111111,"Ambient"
"A1",2020-04-29,14.0490971805556,"Ambient"
"A1",2020-04-30,15.5620833680556,"Ambient"
"A1",2020-05-01,15.4825000520833,"Ambient"
"A1",2020-05-02,17.0064235798611,"Ambient"
"A1",2020-05-03,18.9873611701389,"Ambient"
"A1",2020-05-04,20.5516318715278,"Ambient"
"A1",2020-05-05,22.63420134375,"Ambient"
"A1",2020-05-06,21.9761805972222,"Ambient"
"A1",2020-05-07,21.5934374791667,"Ambient"
"A1",2020-05-08,21.1637499895833,"Ambient"
"A1",2020-05-09,20.5329167673611,"Ambient"
"A1",2020-05-10,18.6351736423611,"Ambient"
"A1",2020-05-11,15.1648958229167,"Ambient"
"A1",2020-05-12,14.2330902777778,"Ambient"
"A1",2020-05-13,14.5552083333333,"Ambient"
"A1",2020-05-14,14.7935416666667,"Ambient"
"A1",2020-05-15,13.9445833333333,"Ambient"
"A1",2020-05-16,13.7818402777778,"Ambient"
"A1",2020-05-17,15.2072569305556,"Ambient"
"A1",2020-05-18,17.4330903194444,"Ambient"
"A1",2020-05-19,18.8082639479167,"Ambient"
"A1",2020-05-20,20.5438889409722,"Ambient"
"A1",2020-05-21,21.3490972326389,"Ambient"
"A1",2020-05-22,22.6392708402778,"Ambient"
"A1",2020-05-23,21.8077083645833,"Ambient"
"A1",2020-05-24,18.80621528125,"Ambient"
"A1",2020-05-25,20.2319096736111,"Ambient"
"A1",2020-05-26,21.3618055520833,"Ambient"
"A1",2020-05-27,22.2728472152778,"Ambient"
"A1",2020-05-28,22.8099306319444,"Ambient"
"A1",2020-05-29,22.8237500069444,"Ambient"
"A1",2020-05-30,23.1036111631944,"Ambient"
"A1",2020-05-31,23.2869444548611,"Ambient"
"A1",2020-06-01,22.6460416770833,"Ambient"
"A1",2020-06-02,21.4882986458333,"Ambient"
"A1",2020-06-03,20.7711111145833,"Ambient"
"A1",2020-06-04,18.4943403506944,"Ambient"
"A1",2020-06-05,16.9905902708333,"Ambient"
"A1",2020-06-06,18.3718749965278,"Ambient"
"A1",2020-06-07,16.7311110972222,"Ambient"
"A1",2020-06-08,15.8847916145833,"Ambient"
"A1",2020-06-09,15.8989930868056,"Ambient"
"A1",2020-06-10,15.9457291631944,"Ambient"
"A1",2020-06-11,16.9551041631944,"Ambient"
"A1",2020-06-12,18.0890972395833,"Ambient"
"A1",2020-06-13,18.8218055972222,"Ambient"
"A1",2020-06-14,17.5835763298611,"Ambient"
"A1",2020-06-15,19.3369096840278,"Ambient"
"A1",2020-06-16,18.5069444097222,"Ambient"
"A1",2020-06-17,16.7366319409722,"Ambient"
"A1",2020-06-18,16.5050695,"Ambient"
"A1",2020-06-19,18.3001736041667,"Ambient"
