"Ref","ID_photo","Reader","Round","PopInd","Pop","TempExp","TempExpNum","Tpop","Predpop","Survival","Naivety","Remarks","Length","EvolHistory"
"T15_B4_Az11_C3","IMG_3039",715,1,"B4_Az11","B4","T15",15,"Ambiant","Pred","Yes","None","None",0.121,"Pred_Ambiant"
"T15_B9_Az16_B6","IMG_3062",727,1,"B9_Az16","B9","T15",15,"Warm","Pred","Yes","None","None",0.129,"Pred_Warm"
"T15_C3_Az2_C6","IMG_3067",727,1,"C3_Az2","C3","T15",15,"Ambiant","Pred","Yes","None","None",0.154,"Pred_Ambiant"
"T15_D7_Az17_C4","IMG_3026",715,1,"D7_Az17","D7","T15",15,"Warm","Ctrl","Yes","None","None",0.161,"Ctrl_Warm"
"T15_A1_Az11_A3","IMG_3030",715,1,"A1_Az11","A1","T15",15,"Ambiant","Ctrl","Yes","None","None",0.128,"Ctrl_Ambiant"
"T15_A1_Az16_C5","IMG_3017",715,1,"A1_Az16","A1","T15",15,"Ambiant","Ctrl","Yes","None","None",0.126,"Ctrl_Ambiant"
"T15_B1_Az10_C6","IMG_3007",715,1,"B1_Az10","B1","T15",15,"Warm","Ctrl","Yes","None","None",0.119,"Ctrl_Warm"
"T15_B1_Az3_C2","IMG_3112",727,1,"B1_Az3","B1","T15",15,"Warm","Ctrl","Yes","None","None",0.146,"Ctrl_Warm"
"T15_B2_Az5_D3","IMG_3043",715,1,"B2_Az5","B2","T15",15,"Ambiant","Ctrl","Yes","None","None",0.135,"Ctrl_Ambiant"
"T15_B2_Az18_D4","IMG_3092",727,1,"B2_Az18","B2","T15",15,"Ambiant","Ctrl","Yes","None","None",0.133,"Ctrl_Ambiant"
"T15_B4_Az12_C1","IMG_3058",715,1,"B4_Az12","B4","T15",15,"Ambiant","Pred","Yes","None","None",0.168,"Pred_Ambiant"
"T15_B4_Az4_D3","IMG_3100",727,1,"B4_Az4","B4","T15",15,"Ambiant","Pred","Yes","None","None",0.146,"Pred_Ambiant"
"T15_B5_Az18_A5","IMG_3011",715,1,"B5_Az18","B5","T15",15,"Warm","Pred","Yes","None","None",0.12,"Pred_Warm"
"T15_B5_Az3_B3","IMG_3096",727,1,"B5_Az3","B5","T15",15,"Warm","Pred","Yes","None","None",0.156,"Pred_Warm"
"T15_B6_Az18_A6","IMG_3001",715,1,"B6_Az18","B6","T15",15,"Ambiant","Pred","Yes","None","None",0.112,"Pred_Ambiant"
"T15_B6_Az1_D6","IMG_3069",727,1,"B6_Az1","B6","T15",15,"Ambiant","Pred","Yes","None","None",0.117,"Pred_Ambiant"
"T15_B7_Az13_B5","IMG_3016",715,1,"B7_Az13","B7","T15",15,"Warm","Pred","Yes","None","None",0.157,"Pred_Warm"
